Nivel: 10;;/Acción: Pasiva;/Tipo: Defensa;;;;
Efecto: Forma una barrera de energía, que protege frente a cualquier fuente de ataque. El escudo sólo puede ser dañado por ataques de naturaleza sobrenatural, aunque los impactos basados en oscuridad causarán doble daño sobre él.;;;;;;;
Grado;Base;Intermedio;Avanzado;Arcano;;;
Zeon;50;120;180;250;;;
Int. R.;6;8;10;14;;;
Base: El escudo tiene 300 puntos de Resistencia.;;;;;;;
Intermedio: El escudo tiene 1.000 puntos de Resistencia.;;;;;;;
Avanzado: El escudo tiene 1.800 puntos de Resistencia.;;;;;;;
Arcano: El escudo tiene 3.000 puntos de Resistencia.;;;;;;;
Mantenimiento: 5 / 15 / 20 / 25;;;;;;;
Percibir;;;;;;;
Nivel: 12 /Acción: Activa /Tipo: Efecto;;;;;;;
Efecto: Este conjuro aumenta la percepción del hechicero acrecentando sus habilidades secundarias de Advertir y Buscar, así como su Valoración mágica en el caso de que pretenda medir o detectar el potencial mágico de algo o alguien (nunca para ocultarlo) así como para analizar la naturaleza de otros conjuros.;;;;;;;
Grado;Base;Intermedio;Avanzado;Arcano;;;
Zeon;50;150;200;250;;;
Int. R.;6;9;12;14;;;
Base: +50 Advertir, Buscar y Valoración mágica.;;;;;;;
Intermedio: +150 Advertir, Buscar y Valoración mágica.;;;;;;;
Avanzado: +200 Advertir, Buscar y Valoración mágica.;;;;;;;
Arcano: +250 Advertir, Buscar y Valoración mágica.;;;;;;;
Mantenimiento: 5 / 15 / 20 / 25;;;;;;;
Libre Acceso Nivel: 1-20;;;;;;;
Armadura de Luz;;;;;;;
Nivel: 16;;/Acción: Activa;/Tipo: Efecto;;;;
Efecto: Forma una coraza mística que otorga TA a su usuario contra todo tipo de ataque, en especial contra los basados en energía. Aunque cuenta como una armadura, no se aplican penalizadores al turno por emplear capas de protección adicionales.;;;;;;;
Grado;Base;Intermedio;Avanzado;Arcano;;;
Zeon;60;90;120;150;;;
Int. R.;6;9;12;15;;;
Base: TA 2 en Energía y TA 1 en el resto.;;;;;;;
Intermedio: TA 5 en Energía y TA 2 en el resto.;;;;;;;
Avanzado: TA 8 en Energía y TA 4 en el resto.;;;;;;;
Arcano: TA 12 en Energía y TA 6 en el resto.;;;;;;;
Mantenimiento: 5 / 10 / 15 / 20;;;;;;;
Destrucción de Sombras;;;;;;;
Nivel: 18;/Acción: Activa   /Tipo: Efecto, Anímico;;;;;;
Efecto: Destruye las sombras existentes alrededor del hechicero. Si se lanza sobre seres basados naturalmente en oscuridad, estos deberán superar una RM o perderán una cantidad equivalente al doble de su nivel de fracaso en puntos de vida (por diez, si poseen acumulación de daño). Mientras se mantenga el conjuro, las entidades afectadas deberán realizar un nuevo control de RM cada asalto.;;;;;;;
Grado;Base;Intermedio;Avanzado;Arcano;;;
Zeon;60;100;150;250;;;
Int. R.;6;9;12;15;;;
Base: 10 metros de radio / 140 RM.;;;;;;;
Intermedio: 100 metros de radio / 180 RM.;;;;;;;
Avanzado: 250 metros de radio / 220 RM.;;;;;;;
Arcano: 500 metros de radio / 280 RM.;;;;;;;
Mantenimiento: 10 / 10 / 15 / 25;;;;;;;
Detectar lo Negativo;;;;;;;
Nivel: 20;/Acción: Activa;/Tipo: Detección;;;;;
Efecto: Detecta cualquier sentimiento negativo, como odio, miedo o ira, que se encuentre un radio alrededor del lanzador, que no sea capaz de resistir la RM del conjuro. De igual forma, el mago también percibe las criaturas;;;;;;;
elementales basadas en dichas emociones.;;;;;;;
Grado;Base;Intermedio;Avanzado;Arcano;;;
Zeon;50;100;160;280;;;
Int. R.;6;9;12;15;;;
Base: 25 metros de radio / 80 RM para resistirse.;;;;;;;
Intermedio: 150 metros de radio / 140 RM para resistirse.;;;;;;;
Avanzado: 500 metros de radio / 160 RM para resistirse.;;;;;;;
Arcano: 1 kilómetro de radio / 200 RM para resistirse.;;;;;;;
Mantenimiento: 5 / 10 / 20 / 30;;;;;;;
Descarga de Luz;;;;;;;
Nivel: 22;/Acción: Activa;/Tipo: Ataque;;;;;
Efecto: Proyecta una descarga de energía mágica basada en luz. El ataque se;;;;;;;
realiza en la TA de Energía.;;;;;;;
Grado;Base;Intermedio;Avanzado;Arcano;;;
Zeon;50;90;120;150;;;
Int. R.;6;9;12;15;;;
Base: Daño 60.;;;;;;;
Intermedio: Daño 90.;;;;;;;
Avanzado: Daño 120.;;;;;;;
Arcano: Daño 150.;;;;;;;
Mantenimiento: No;;;;;;;
Libre Acceso Nivel: 1-30;;;;;;;
Holograma;;;;;;;
Nivel: 26 /Acción: Activa /Tipo: Efecto;;;;;;;
Efecto: Crea una forma luminosa inmaterial a la que el hechicero podrá darle la apariencia y el movimiento que desee, haciendo muy difícil diferenciarla de un verdadero ser u objeto. Si se crea una criatura, podrá realizar cualquier acción inhumana que el controlador desee, pero imitará las habilidades físicas del hechicero. Si, por ejemplo, se utiliza el holograma para simular que se va a realizar un ataque, utilizará la habilidad de combate de su lanzador. El holograma no puede tocar a nadie ni ser tocado, pero si recibe algún daño basado en energía, desaparece. Para poder percibir que se trata sólo de una imagen, es necesario superar un control de Advertir contra una dificultad de Casi Imposible, o un Buscar contra Muy Difícil.;;;;;;;
Grado;Base;Intermedio;Avanzado;Arcano;;;
Zeon;40;150;250;350;;;
Int. R.;6;9;12;15;;;
Base: La imagen tiene un tamaño máximo de un metro cuadrado.;;;;;;;
Intermedio: La imagen tiene un tamaño máximo de 15 metros cuadrados.;;;;;;;
Avanzado: La imagen tiene un tamaño máximo de 50 metros cuadrados.;;;;;;;
Arcano: La imagen tiene un tamaño máximo de 100 metros cuadrados y la dificultad del control de Advertir y buscar aumenta respectivamente a Imposible y Absurdo.;;;;;;;
Mantenimiento: 5 / 20 / 25 / 30;;;;;;;
Lazos de Luz;;;;;;;
Nivel: 28 /Acción: Activa /Tipo: Ataque;;;;;;;
Efecto: Forma unos lazos de luz que sujetan al blanco designado. Para ello el lanzador emplea las reglas de Presa, aunque sin penalizador alguno a su habilidad. Los lazos de luz no pueden romperse por el sujeto al que sujetan, pero si un tercero intenta romperlos, estos se consideran un arma de energía con Entereza 25.;;;;;;;
Grado;Base;Intermedio;Avanzado;Arcano;;;
Zeon;60;100;140;180;;;
Int. R.;6;9;12;15;;;
Base: Disponen de una Fuerza base 8 para los controles.;;;;;;;
Intermedio: Disponen de una Fuerza base 12 para los controles.;;;;;;;
Avanzado: Disponen de una Fuerza base 15 para los controles y tienen Entereza 30.;;;;;;;
Arcano: Disponen de una Fuerza base 18 para los controles y tienen Entereza 35.;;;;;;;
Mantenimiento: 10 / 10 / 15 / 15;;;;;;;
Dominio Lumínico;;;;;;;
Nivel: 30 /Acción: Activa /Tipo: Efecto, Anímico;;;;;;;
Efecto: Modifica y controla la forma, color o intensidad de la luz de un ambiente. Si se lanza sobre seres basados naturalmente en este elemento serán dominados por el hechicero si no superan una RM determinada por el grado del conjuro. La criatura sólo puede repetir el control si recibe una orden;;;;;;;
que sea opuesta a su naturaleza.;;;;;;;
Grado;Base;Intermedio;Avanzado;Arcano;;;
Zeon;50;150;250;350;;;
Int. R.;6;9;12;16;;;
Base: Radio de 20 metros / RM 80.;;;;;;;
Intermedio: Radio de 150 metros / RM 140.;;;;;;;
Avanzado: Radio de 300 metros y RM 180.;;;;;;;
Arcano: Radio de 500 metros / RM 220.;;;;;;;
Mantenimiento: 5 / 20 / 25 / 30;;;;;;;
Detectar Vida;;;;;;;
Nivel: 32;;/Acción: Activa;;/Tipo: Detección;;;
Efecto: Detecta cualquier fuente de vida. El conjuro no dará más información que el número de seres vivos y el lugar exacto donde se encuentran con;;;;;;;
respecto al lanzador.;;;;;;;
Grado;Base;Intermedio;Avanzado;Arcano;;;
Zeon;60;100;150;300;;;
Int. R.;6;9;12;15;;;
Base: Radio de 25 metros / RM 140.;;;;;;;
Intermedio: Radio de 50 metros / RM 180.;;;;;;;
Avanzado: Radio de 150 metros / RM 220.;;;;;;;
Arcano: Radio de 500 metros / RM 280.;;;;;;;
Mantenimiento: 5 / 10 / 15 / 30;;;;;;;
Libre Acceso Nivel: 1-40;;;;;;;
1  2 5;;;;;;;
Espía de Luz;;;;;;;
Nivel: 36 /Acción: Activa /Tipo: Efecto;;;;;;;
Efecto: Crea una pequeña luz de energía que se mueve a voluntad del hechicero con un Tipo de vuelo 14. A través de ella el brujo puede ver y escuchar como si se encontrara presente hasta una distancia máxima determinada por el grado del conjuro, pero al hacerlo suprimirá sus sentidos naturales y sólo podrá percibir el mundo a través del espía (el personaje ha de elegir cada asalto si va a mirar a través del conjuro o no). El espía emplea habilidades de Advertir y Buscar independientes de las del lanzador, y serán estas las que utilice el brujo cuando mire o escuche a través de él. El espía puede esquivar ataques usando la Proyección Mágica del hechicero. Sólo es posible dañarle con ataques sobrenaturales, pero es destruido en el caso de que sufra cualquier tipo de daño. La distancia máxima que puede separar al espía del hechicero;;;;;;;
es determinada por el grado del conjuro.;;;;;;;
Grado;Base;Intermedio;Avanzado;Arcano;;;
Zeon;100;200;300;400;;;
Int. R.;6;9;12;15;;;
Base: 100 en Advertir y Buscar / 1 Kilómetro de distancia máxima.;;;;;;;
Intermedio: 150 en Advertir y Buscar / 10 Kilómetros de distancia máxima.;;;;;;;
Avanzado: 200 en Advertir y Buscar / 50 Kilómetros de distancia máxima.;;;;;;;
Arcano: 250 en Advertir y Buscar / 500 Kilómetros de distancia máxima.;;;;;;;
Mantenimiento: 20 / 40 / 60 / 80 /Diario;;;;;;;
Éxtasis;;;;;;;
Nivel: 38 /Acción: Activa /Tipo: Anímico;;;;;;;
Efecto: Este conjuro embriaga, con un sentimiento de completo éxtasis, a aquel o aquellos sujetos que se encuentren alrededor del lanzador y fallen la RM. La sensación de placer será tan intensa que sus sentidos se nublarán por completo, aplicando un penalizador de –20 a toda acción mientras dure su poder. Sin embargo, los hechizados olvidarán completamente cualquier sentimiento de dolor y pesadumbre, e ignorarán todos los otros penalizadores que puedan aplicárseles, salvo aquellos provocados por incapacidades físicas.;;;;;;;
Grado;Base;Intermedio;Avanzado;Arcano;;;
Zeon;60;90;120;150;;;
Int. R.;6;9;12;15;;;
Base: RM 80 / 10 metros de radio.;;;;;;;
Intermedio: RM 100 / 50 metros de radio.;;;;;;;
Avanzado: RM 120 / 100 metros de radio.;;;;;;;
Arcano: RM 160 / 250 metros de radio.;;;;;;;
Mantenimiento: 10 / 10 / 15 / 15;;;;;;;
Destruir Sentimientos Negativos;;;;;;;
Nivel: 40;;/Acción: Activa;/Tipo: Anímico;;;;
Efecto: Destruye temporalmente cualquier sentimiento negativo, como odio, miedo o ira, de aquellos individuos que se encuentren alrededor del hechicero;;;;;;;
y no superen la RM del conjuro.;;;;;;;
Grado;Base;Intermedio;Avanzado;Arcano;;;
Zeon;80;180;240;350;;;
Int. R.;6;9;12;15;;;
Base: RM o RP 100 / 100 metros de radio.;;;;;;;
Intermedio: RM o RP 150 / 500 metros de radio.;;;;;;;
Avanzado: RM o RP 180 / 1 kilómetro de radio.;;;;;;;
Arcano: RM o RP 220 / 5 Kilómetros de radio.;;;;;;;
Mantenimiento: No;;;;;;;
Luz Sanadora;;;;;;;
Nivel: 42;;/Acción: Activa;;/Tipo: Efecto;;;
Efecto: Hace recuperar puntos de vida al sujeto sobre el que se lance. Este conjuro no permite restaurar miembros cercenados o pérdidas permanentes, ni tampoco elimina los penalizadores causados por los críticos.;;;;;;;
Grado;Base;Intermedio;Avanzado;Arcano;;;
Zeon;70;100;150;200;;;
Int. R.;7;10;13;15;;;
Base: 40 Puntos de Vida.;;;;;;;
Intermedio: 80 Puntos de Vida.;;;;;;;
Avanzado: 120 Puntos de Vida.;;;;;;;
Arcano: 250 Puntos de Vida.;;;;;;;
Mantenimiento: No;;;;;;;
1  2 6;;;;;;;
Una joven queda fascinada al observar el Esquema Hipnótico;;;;;;;
Libre Acceso Nivel: 1-50;;;;;;;
Esfera Buscadora;;;;;;;
Nivel: 46 /Acción: Activa /Tipo: Ataque;;;;;;;
Efecto: Desencadena una esfera de energía luminosa que ataca en la TA de Energía. El conjuro puede controlarse con la Proyección Mágica del lanzador hasta que impacte sobre un objetivo, por lo que si un blanco esquiva la acometida de una Esfera Buscadora, esta podrá seguir atacando en el turno siguiente al no haber sido destruida. Únicamente cuando causa daño o es parada, la esfera desaparece. Si el hechicero abandona el control directo sobre ella, la esfera se moverá por si misma, atacando todos los asaltos al último blanco prefijado con su propia Proyección Mágica independiente de la del hechicero.;;;;;;;
Grado;Base;Intermedio;Avanzado;Arcano;;;
Zeon;120;180;240;300;;;
Int. R.;6;9;12;15;;;
Base: Daño Base 100 / Proyección Mágica 150.;;;;;;;
Intermedio: Daño Base de 120 / Proyección Mágica 180.;;;;;;;
Avanzado: Daño Base de 160 / Proyección Mágica 210.;;;;;;;
Arcano: Daño Base de 200 / Proyección Mágica 240.;;;;;;;
Mantenimiento: 15 / 20 / 25 / 30;;;;;;;
Zona de Detección;;;;;;;
Nivel: 48;;/Acción: Activa /Tipo: Detección;;;;;
Efecto: Al lanzar este conjuro sobre un lugar determinado, el brujo percibirá a cualquier ser que entre dentro del área del hechizo si no supera una RM. La Zona de Detección no dará más información que el número de individuos que se encuentran dentro y su localización exacta, pero el mago no podrá ver su aspecto o escucharles. También percibirá otros hechizos de Detección que traten de entrar en ella, siempre que el mago que los lanza no supere la RM de la Zona (sin importar dónde se encuentre). Este conjuro permanece estático en el lugar donde fue lanzado.;;;;;;;
Grado;Base;Intermedio;Avanzado;Arcano;;;
Zeon;140;200;280;360;;;
Int. R.;7;10;12;15;;;
Base: RM 180 / 20 metros de radio.;;;;;;;
Intermedio: RM 240 / 80 metros de radio.;;;;;;;
Avanzado: RM 280 / 150 metros de radio.;;;;;;;
Arcano: RM 340 / 250 metros de radio.;;;;;;;
Mantenimiento: 10 / 10 / 15 / 15 /Diario;;;;;;;
Introducirse en los Sueños;;;;;;;
Nivel: 50 /Acción: Activa /Tipo: Anímico;;;;;;;
Efecto: Permite al hechicero introducirse físicamente en los sueños de un durmiente. El brujo no tendrá ningún control sobre el mundo onírico del soñador, y cualquier cosa que suceda será real para él. La persona deberá tener sueños tranquilos para que este conjuro pueda afectarle y, en el momento en que se torne una pesadilla, despierte o muera, el mago abandonará el mundo onírico y volverá al real. Cualquier conjuro de Esencia realizado sobre el durmiente afectará también al hechicero. Una vez en los sueños, el brujo podrá saltar al subconsciente de otro soñador si este no se encuentra, físicamente, a una distancia cercana del durmiente original. Naturalmente, este sujeto tendrá derecho a una nueva RM. En el caso de que la conciencia del soñador se encuentre en el mundo de la Vigilia, el hechicero quedará atrapado allí incluso después de que finalice el conjuro.;;;;;;;
Grado;Base;Intermedio;Avanzado;Arcano;;;
Zeon;120;180;240;300;;;
Int. R.;6;9;12;15;;;
Base: RM o RP 140 / 10 metros de distancia.;;;;;;;
Intermedio: RM o RP 160 / 80 metros de distancia.;;;;;;;
Avanzado: RM o RP 200 / 140 metros de distancia.;;;;;;;
Arcano: RM o RP 240 / 200 metros de distancia.;;;;;;;
Mantenimiento: 10 / 10 / 15 / 15 /Diario;;;;;;;
Cuerpo a Luz;;;;;;;
Nivel: 52;;/Acción: Activa;;/Tipo: Efecto;;;
Efecto: El cuerpo designado por el hechicero se transformará en pura energía luminosa, volviéndose intangible ante todas las materias y ataques no basados en energía. Mientras se encuentre en este estado, el sujeto ganará un bono en sus habilidades secundarias de Advertir y Buscar, así como a sus Resistencias contra efectos basados en Luz. En este estado, cualquier daño causado por;;;;;;;
Oscuridad se doblará.;;;;;;;
Grado;Base;Intermedio;Avanzado;Arcano;;;
Zeon;100;120;140;160;;;
Int. R.;8;11;13;16;;;
Base: +50 en Advertir y Buscar / +20 a sus Resistencias.;;;;;;;
Intermedio: +60 en Advertir y Buscar / +30 a sus Resistencias.;;;;;;;
Avanzado: Como el Intermedio, pero el bono a sus Resistencias se aplica contra toda clase de efecto sobrenatural no basado en oscuridad.;;;;;;;
Arcano: Como el Avanzado, pero no sufre doble daño por recibir ataques basados en oscuridad.;;;;;;;
Mantenimiento: 10 / 15 / 15 / 20;;;;;;;
Libre Acceso Nivel: 1-60;;;;;;;
Bendición;;;;;;;
Nivel: 56 /Acción: Activa /Tipo: Efecto;;;;;;;
Efecto: La bendición imbuye de una increíble energía sobrenatural a quienes se encuentren alrededor del hechicero. Aquellos que se encuentren bajo su influencia recibirán un bonificador a todas sus acciones y Resistencias. Los beneficios de este conjuro no se superponen, por lo que un personaje no obtendría el doble de bonos por encontrarse en el área de dos conjuros de Bendición.;;;;;;;
Grado;Base;Intermedio;Avanzado;Arcano;;;
Zeon;100;180;240;300;;;
Int. R.;8;10;12;15;;;
Base: +10 a toda acción / +10 resistencias / Radio de 5 metros.;;;;;;;
Intermedio: +20 a toda acción / +20 resistencias / Radio de 25 metros.;;;;;;;
Avanzado: +20 a toda acción / +30 resistencias / Radio de 50 metros.;;;;;;;
Arcano: +30 a toda acción / +30 resistencias / Radio de 150 metros.;;;;;;;
Mantenimiento: 5 / 10 / 15 / 15;;;;;;;
Crear Sentimientos Positivos;;;;;;;
Nivel: 58 /Acción: Activa /Tipo: Anímico;;;;;;;
Efecto: Introduce algún tipo de sentimiento positivo, como amor, placer o amistad, en los individuos designados por el hechicero que fallen la RM del conjuro. El afectado puede repetir el control una vez al día.;;;;;;;
Grado;Base;Intermedio;Avanzado;Arcano;;;
Zeon;100;180;240;300;;;
Int. R.;8;10;12;15;;;
Base: Radio de 20 metros / RM o RP 120.;;;;;;;
Intermedio: Radio de 100 metros / RM o RP 160.;;;;;;;
Avanzado: Radio de 250 metros / RM o RP 180.;;;;;;;
Arcano: Radio de 500 metros / RM o RP 220.;;;;;;;
Mantenimiento: 10 / 20 / 25 / 30;/Diario;;;;;;
Ver Realmente;;;;;;;
Nivel: 60 /Acción: Activa /Tipo: Efecto;;;;;;;
Efecto: Permite al afectado por el conjuro percibir las fuerzas sobrenaturales que son invisibles para el ojo humano; podrá ver magia, matrices psíquicas y seres invisibles o espirituales. Aunque no funciona contra conjuros ilusorios, ya que afectan a la mente y no a la vista, cualquiera que utilice Ver Realmente contra ilusiones visuales podrá aplicar un bono a su RM, puesto que le resulta más fácil darse cuenta de su falsedad.;;;;;;
Grado;Base;Intermedio;Avanzado;Arcano;;;
Zeon;100;120;180;250;;;
Int. R.;8;12;14;16;;;
Base: Podrá ver magia, matrices psíquicas y seres invisibles / +50 RM contra ilusiones.;;;;;;;
Intermedio: Como en Base, pero permite ver también seres espirituales.;;;;;;;
Avanzado: Como en Intermedio, pero obtiene un +75 RM contra ilusiones.;;;;;;;
Arcano: Como avanzado, pero obtiene un +100 RM contra ilusiones.;;;;;;;
Mantenimiento: 10 / 15 / 15 / 25 /Diario;;;;;;;
Escudar Contra lo Negativo;;;;;;;
Nivel: 62 /Acción: Activa /Tipo: Automático;;;;;;;
Efecto: Encanta una zona, haciéndola impenetrable para los seres basados naturalmente en sentimientos negativos u oscuridad. Cualquiera de estas criaturas que entre en la zona del conjuro, deberá realizar cada asalto una RM o sufrir una pérdida en puntos de vida equivalente al nivel de fracaso. Adicionalmente, de fallar el control, el ser recibirá de inmediato un penalizador a toda acción de -40 mientras siga en su interior. La zona afectada permanece estática en el lugar donde fue lanzada.;;;;;;;
Grado;Base;Intermedio;Avanzado;Arcano;;;
Zeon;140;180;240;300;;;
Int. R.;7;9;12;15;;;
Base: RM 120 / radio de 20 metros.;;;;;;;
Intermedio: RM 140 / radio de 100 metros.;;;;;;;
Avanzado: RM 160 / radio de 250 metros.;;;;;;;
Arcano: RM 180 / radio de 500 metros.;;;;;;;
Mantenimiento: 15 / 20 / 25 / 30 /Diario;;;;;;;
Libre Acceso Nivel: 1-70;;;;;;;
Encontrar;;;;;;;
Nivel: 66;;/Acción: Activa;;/Tipo: Detección;;;
Efecto: Mediante el conjuro de Encontrar, el hechicero adquiere la capacidad de localizar una persona, objeto o lugar, y conocer su ubicación exacta en ese momento sin importar la distancia que los separe. Podrá buscar cualquier cosa, concreta o genérica, o simplemente algo que reúna una condición determinada. Por ejemplo, podría intentar localizar una ciudad, al ladrón que le sustrajo su báculo (al cual no conoce) o incluso a la doncella de sangre real más próxima a él. Los objetos, lugares o personas afectados deberán realizar una tirada contra una RM para evitar ser localizados. Los lugares de gran tamaño aplicarán un;;;;;;;
penalizador de –40 a dicha tirada.;;;;;;;
Grado;Base;Intermedio;Avanzado;Arcano;;;
Zeon;160;200;260;320;;;
Int. R.;8;10;13;16;;;
Base: RM 140.;;;;;;;
Intermedio: RM 180.;;;;;;;
Avanzado: RM 220.;;;;;;;
Arcano: RM 260.;;;;;;;
Mantenimiento: No;;;;;;;
Restituir;;;;;;;
Nivel: 68;;/Acción: Activa;;/Tipo: Efecto;;;
Efecto: Este conjuro restituye los penalizadores que se apliquen sobre un individuo determinado. Los negativos restituidos podrán haber sido causados por cansancio, hambre, daños físicos o incluso conjuros, aunque no por carencias físicas, como la pérdida de un miembro u otra parte del cuerpo. La restitución recuperará, además, cierta cantidad de de puntos de Cansancio gastados.;;;;;;;
Grado;Base;Intermedio;Avanzado;Arcano;;;
Zeon;150;200;250;300;;;
Int. R.;8;10;12;15;;;
Base: Elimina un -40 a toda acción y restituye 2 puntos de Cansancio;;;;;;;
Intermedio: Elimina un -80 a toda acción y restituye 5 puntos de Cansancio;;;;;;;
Avanzado: Elimina un -120 a toda acción y restituye 10 puntos de Cansancio;;;;;;;
Arcano: Restituye cualquier penalizador y cantidad de Puntos de Cansancio.;;;;;;;
Mantenimiento: No;;;;;;;
1  2 7;;;;;;;
Esquema Hipnótico;;;;;;;
Nivel: 70 /Acción: Activa /Tipo: Automático;;;;;;;
Efecto: Forma una marca o un espectáculo de luces en un lugar determinado que fascina y atonta a los que la observen. Todo aquel que lo mire y falle la Resistencia no podrá hacer sino seguir contemplándolo absorto, y mientras se encuentren afectados por el conjuro, sólo podrán realizar acciones pasivas sin poder moverse demasiado. Cada vez que reciban un ataque tendrán una nueva oportunidad de superar la Resistencia. La condición para ser afectado;;;;;;;
consiste en mirar directamente al esquema hipnótico.;;;;;;;
Grado;Base;Intermedio;Avanzado;Arcano;;;
Zeon;140;200;280;360;;;
Int. R.;10;12;14;16;;;
Base: Visible en 1 kilómetro de radio / RM o RP 120.;;;;;;;
Intermedio: Visible en 5 kilómetros de radio / RM o RP 150.;;;;;;;
Avanzado: Visible en 15 kilómetros de radio / RM o RP 180.;;;;;;;
Arcano: Visible en 25 kilómetros de radio / RM o RP 220.;;;;;;;
Mantenimiento: 5 / 10 / 10 / 15;;;;;;;
Luz Catastrófica;;;;;;;
Nivel: 72 /Acción: Activa /Tipo: Ataque;;;;;;;
Efecto: Proyecta una descarga basada en luz. Ataca en la TA de Energía.;;;;;;;
Grado;Base;Intermedio;Avanzado;Arcano;;;
Zeon;140;180;240;350;;;
Int. R.;10;12;14;16;;;
Base: Daño 120 / 25 metros de radio.;;;;;;;
Intermedio: Daño 150 / 100 metros de radio.;;;;;;;
Avanzado: Daño 200 / 150 metros de radio.;;;;;;;
Arcano: Daño 250 / 250 metros de radio.;;;;;;;
Mantenimiento: No;;;;;;;
Libre Acceso Nivel: 1-80;;;;;;;
Objetos Luminosos Materiales;;;;;;;
Nivel: 76;;/Acción: Activa;;/Tipo: Efecto;;;
Efecto: Forma un objeto físico de energía lumínica. Pese a estar hecho de luz, tiene consistencia física. La presencia máxima de dicho objeto y la calidad del mismo viene determinada por el grado del conjuro.;;;;;;;
Grado;Base;Intermedio;Avanzado;Arcano;;;
Zeon;150;200;240;300;;;
Int. R.;10;12;14;16;;;
Base: Presencia 60 / Calidad +5.;;;;;;;
Intermedio: Presencia 100 / Calidad +10.;;;;;;;
Avanzado: Presencia 140 / Calidad +10.;;;;;;;
Arcano: Presencia 180 / Calidad +15.;;;;;;;
Mantenimiento: 15 / 20 / 25 / 30;;;;;;;
Transmisión por Luz;;;;;;;
Nivel: 78;;/Acción: Activa;/Tipo: Efecto, Anímico;;;;
Efecto: Transporta instantáneamente a los individuos u objetos designados por el brujo, desde una fuente de luz hasta otra. Si desea resistirse, hay que superar la RM del conjuro. Tanto la distancia máxima como la máxima presencia afectable son determinadas por el grado del conjuro.;;;;;;;
Grado;Base;Intermedio;Avanzado;Arcano;;;
Zeon;250;360;450;600;;;
Int. R.;10;12;14;16;;;
Base: 100 kilómetros / 250 de presencia / RM 120.;;;;;;;
Intermedio: 1.000 kilómetros / 500 de presencia / RM 140.;;;;;;;
Avanzado: 5.000 kilómetros / 1.000 de presencia / RM 180.;;;;;;;
Arcano: 15.000 kilómetros / 2.000 de presencia / RM contra 200.;;;;;;;
Mantenimiento: No;;;;;;;
Señor de los Sueños;;;;;;;
Nivel: 80 /Acción: Activa /Tipo: Efecto, Anímico;;;;;;;
Efecto: Permite dominar cualquier tipo de sueño de un individuo que no supere la RM del conjuro. El hechicero tendrá la capacidad de controlar el mundo onírico de un durmiente, modificándolo como si tuviera Gnosis 45. En el caso de que el sueño se alimente de energía negativa, es decir, que se torne una pesadilla, su Gnosis será sólo de 30. Los conjuros que el brujo lance únicamente gracias a dicho Gnosis (como por ejemplo, magia divina), no tienen efecto fuera de los límites espaciales del conjuro y sus efectos desaparecen en cuanto el hechicero sale del sueño o de la Vigilia.;;;;;;;
Grado;Base;Intermedio;Avanzado;Arcano;;;
Zeon;300;400;500;750;;;
Int. R.;12;14;16;18;;;
Base: RM 140.;;;;;;;
